seed,best_f,sigma_end,accept_rate,landed
60000,55.25477790757449,,,False
60001,292.9856793029894,,,False
60002,210.58815900070476,,,False
60003,256.68848416040896,,,False
60004,277.0262679373647,,,False
60005,268.3397819184984,,,False
60006,271.1152225892792,,,True
60007,268.8542853839116,,,True
60008,258.65322742015223,,,False
60009,247.81235894631774,,,False
60010,294.67964985659535,,,False
60011,263.8556813751891,,,False
60012,242.362596753129,,,False
60013,279.12815796625495,,,False
60014,202.9963001531549,,,False
60015,255.1362715966601,,,False
60016,248.13084554601124,,,False
60017,225.6719742357052,,,False
60018,245.26084512330925,,,False
60019,233.9430558308194,,,False
