seed,best_f,sigma_end,accept_rate,landed
60000,93.14678554850025,11.114296454488375,0.006,False
60001,36.52089826333482,2.211190372805635,0.008,False
60002,51.398784577447636,1.1241378863010265,0.011,False
60003,269.0044906345477,11.127174527385398,0.02,True
60004,-30.087355649017695,3.0748441583267785,0.005,False
60005,156.83897073914306,3.3249987043689044,0.024,False
60006,37.52288046735194,2.507653500207326,0.011,False
60007,-43.15233160225436,16.133026819068096,0.015,False
60008,23.28437787560866,4.732804280467645,0.016,False
60009,99.74859736434871,4.04497865356669,0.012,False
60010,-12.677713645038907,6.680145324833063,0.013,False
60011,-59.61562639804115,0.4783714994927434,0.015,False
60012,252.59831665478,0.12402954634212981,0.019,False
60013,38.72979631633404,3.4226878279510142,0.011,False
60014,79.38032920554159,1.4954836311155857,0.017,False
60015,238.60663780551522,0.4653508049428716,0.023,True
60016,39.15557875016092,5.41109091991219,0.014,False
60017,-2.5693854447228595,0.28445273641597774,0.015,False
60018,250.14010529122848,0.827752350389195,0.017,False
60019,32.83421715456398,2.2133978293156327,0.007,False
