seed,best_f,sigma_end,accept_rate,landed
1000,208.4844266892066,,,False
1001,257.29631892626213,,,False
1002,315.9823587810621,,,True
1003,258.75090877455335,,,False
1004,42.38595285985386,,,False
1005,257.19742722231126,,,False
1006,259.4266026192846,,,False
1007,283.7034448599376,,,False
1008,161.05109585482336,,,False
1009,278.3452602866665,,,False
1010,43.878477522104276,,,False
1011,258.97026660830153,,,True
1012,273.8823700666444,,,False
1013,251.77438417191115,,,False
1014,265.8352634067976,,,False
1015,291.42091911856096,,,False
1016,264.43791646975063,,,False
1017,262.5137296650171,,,False
1018,272.3965141855845,,,False
1019,268.39126685950674,,,False
1020,272.4177576259956,,,False
1021,35.8203964926949,,,False
1022,265.8343249191384,,,False
1023,251.18877068082236,,,True
1024,232.16680821043556,,,False
1025,224.47345707912592,,,False
1026,294.68939883406915,,,False
1027,171.67964257564591,,,False
1028,261.0917807664164,,,True
1029,269.7560330240192,,,False
