seed,best_f,sigma_end,accept_rate,landed
1000,244.71806683074635,0.01,,False
1001,287.480811150063,0.008,,False
1002,47.348603113284696,0.003,,False
1003,228.47541491690492,0.008,,False
1004,203.87055769619317,0.006,,False
1005,286.5277086666674,0.006,,False
1006,50.370923674932726,0.006,,False
1007,277.87941512395787,0.007,,False
1008,40.96782931717152,0.013,,False
1009,61.3885929655215,0.009,,False
1010,29.26150484793058,0.01,,False
1011,26.713451686290966,0.008,,False
1012,21.37181780817849,0.011,,False
1013,-264.59389161224675,0.011,,False
1014,245.26503273616598,0.005,,False
1015,30.177265634017232,0.006,,False
1016,-249.84460582181092,0.009,,False
1017,245.491814752525,0.005,,False
1018,39.90569902474803,0.002,,False
1019,-289.939979227161,0.008,,False
1020,-319.4122927344122,0.002,,False
1021,61.56095632949214,0.008,,False
1022,60.734869059648304,0.007,,True
1023,36.816989943252395,0.009,,False
1024,50.43965600033053,0.005,,False
1025,-63.971126394942615,0.01,,False
1026,-256.50140546763214,0.007,,False
1027,60.766644141211515,0.011,,False
1028,-301.1961564112481,0.009,,False
1029,42.414752656279404,0.009,,False
