seed,best_f,sigma_end,accept_rate,landed
20000,-358.13531782525007,0.15701092503543368,0.014,False
20001,227.94214437039986,0.45861832602937913,0.026,True
20002,-33.49222955787493,0.645528938949484,0.02,False
20003,99.9137954389455,0.6639844908519901,0.024,False
20004,126.54396394862026,0.3116832350139319,0.018,False
20005,-55.673582499011225,0.9416991581479328,0.004,False
20006,-15.015675704339666,0.25615190787991504,0.016,False
20007,261.2339177332063,0.5488855362504692,0.016,True
20008,29.305749821815585,1.266999803247575,0.026,False
20009,-7.367129124881804,0.26779993214815234,0.022,False
20010,-42.64841506190177,0.6546943844347554,0.014,False
20011,158.49081472110882,0.06330069851004502,0.01,False
20012,-7.613341538479749,0.3400533171768079,0.024,False
20013,-23.553898818627914,0.14804718474565848,0.014,False
20014,246.56972805520593,0.0938745161971367,0.054,False
20015,-350.37234075842963,0.07243230118192362,0.008,False
20016,-149.2998470979459,0.16153763977602864,0.014,False
20017,-28.354950509223546,0.5122371154447707,0.01,False
20018,-28.51297528400919,0.07964027261644614,0.018,False
20019,-55.5620535272901,0.2638837888492836,0.016,False
