seed,best_f,sigma_end,accept_rate,landed
60000,27.546943434055876,,,False
60001,240.74064332142297,,,False
60002,264.7839125267531,,,False
60003,45.73930070276052,,,False
60004,188.4936058893331,,,False
60005,47.61513954335203,,,False
60006,61.22226243292275,,,False
60007,25.132940869130465,,,False
60008,251.69668079424704,,,False
60009,45.88096628179267,,,False
60010,221.48305826872775,,,False
60011,47.910367708193036,,,False
60012,22.964647764235906,,,False
60013,205.86601967242143,,,False
60014,248.81169490575562,,,False
60015,49.581435575604985,,,False
60016,224.03312442790462,,,False
60017,231.7244200454513,,,False
60018,39.41921211150725,,,False
60019,31.007475091521627,,,False
