seed,best_f,sigma_end,accept_rate,landed
1000,41.252064074824034,,,False
1001,252.00069308859048,,,False
1002,-219.11263649759883,,,False
1003,266.4713903138568,,,False
1004,268.1399252668408,,,False
1005,244.07185675418992,,,False
1006,265.4386657641711,,,False
1007,55.01074854756277,,,True
1008,-246.38263954514449,,,False
1009,278.19497251417727,,,False
1010,-256.3854997078271,,,False
1011,262.2482476619207,,,False
1012,47.74447445611409,,,False
1013,306.850678952899,,,True
1014,65.65238612892969,,,False
1015,26.09319773411211,,,False
1016,295.1070222837468,,,True
1017,227.1935925758399,,,False
1018,260.28190697886816,,,False
1019,291.07545579678623,,,False
1020,66.90393309206345,,,False
1021,226.22004753957592,,,False
1022,-304.7862050634164,,,False
1023,56.84188071367922,,,False
1024,53.79239241223101,,,False
1025,257.15651720314185,,,False
1026,27.08681777473639,,,False
1027,219.95992910517185,,,False
1028,54.278323533975936,,,False
1029,-191.12593828294055,,,False
