seed,best_f,sigma_end,accept_rate,landed
60000,279.79443880127474,0.008,,False
60001,-253.84831694320928,0.007,,False
60002,-208.30947232354015,0.005,,False
60003,17.04464864239378,0.01,,True
60004,38.397651163405556,0.006,,False
60005,70.7184453818326,0.012,,False
60006,-343.0832208099892,0.013,,False
60007,52.952895748688775,0.008,,False
60008,69.53648489772769,0.012,,False
60009,179.36143289469055,0.006,,False
60010,13.607982648880352,0.007,,False
60011,69.91003769656663,0.01,,False
60012,60.82999793060776,0.006,,False
60013,184.67463002620306,0.008,,False
60014,43.10286052629209,0.008,,False
60015,277.6387345524194,0.007,,False
60016,-270.0852618701193,0.008,,False
60017,36.18474877433468,0.009,,False
60018,-341.86787506214023,0.006,,False
60019,30.53514949064521,0.007,,False
