seed,best_f,sigma_end,accept_rate,landed
1000,222.3784801132445,0.10817644905478278,,
1001,-207.17004681402176,0.11029010321349411,,
1002,-249.7318376319579,0.028931200420302325,,
1003,51.31833470058004,0.10845334675375229,,
1004,248.89711052534162,0.11599428045196701,,
1005,44.17554124751996,0.07391045306943395,,
1006,46.89947559382048,0.14344878734873048,,
1007,48.88781603878374,0.0579882817892021,,
1008,-250.09345931448837,0.03479510279499524,,
1009,31.698188379849483,0.08909360709179923,,
1010,-204.08338119960442,0.05127391517237307,,
1011,292.30907608361815,0.05640016156158257,,
1012,33.89225542543707,0.08863814761881027,,
1013,245.82087347751877,0.1851894791297847,,
1014,-263.2603887692528,0.05459467316664388,,
1015,25.99338149163232,0.0483728568354094,,
1016,216.00851459886502,0.16115716234986635,,
1017,57.10924155763115,0.2440019753397006,,
1018,62.12825150192717,0.08296025916769516,,
1019,288.5858530753327,0.1012519128809881,,
