evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31
1 -262.0217318366 0.255023 -0.721247 0.235337 0.296700 0.640205 0.732883 0.580422 -0.764755 0.701343 -0.029673 0.833095 -0.268164 0.717704 -0.896181 0.901206 -0.341982 0.397038 -0.620585 -0.199328 0.238346 0.657709 -0.622669 0.946928 -0.668540 0.965948 -0.058683 0.911132 0.667850 -0.326747 0.865932 0.100462 -0.074838
8 -218.6203932381 0.820837 0.244139 0.060618 -0.121338 0.607687 -0.004322 -0.859678 -0.175801 0.170115 0.144953 0.090267 -0.852233 0.857115 0.848615 0.953078 -0.127003 -0.607189 -0.913366 0.225026 -0.771031 0.616330 -0.421154 -0.923754 -0.613138 -0.539754 0.330414 0.381285 0.932724 -0.073389 0.891202 -0.979082 0.189119
12 -122.4298111898 -0.884237 -0.296496 -0.808786 -0.917127 0.249383 -0.326918 -0.284600 -0.871456 -0.646629 -0.991687 0.038775 -0.122349 0.011932 0.564135 -0.437849 -0.942334 -0.890366 0.002732 0.080387 -0.205724 0.063809 0.279316 0.532640 -0.812602 -0.050325 0.253709 -0.946942 -0.890449 -0.430183 0.125750 0.232163 -0.012511
20 -79.9391128930 0.870887 -0.249440 0.964019 -0.184261 0.319869 -0.805652 0.044538 0.040435 -0.606090 -0.031214 0.667977 0.258109 -0.872990 0.512358 -0.610296 0.741367 0.869050 -0.455519 0.218101 0.773473 -0.007630 0.383850 0.007989 0.988198 -0.123855 0.069781 -0.422411 0.678106 -0.775001 0.669837 0.998688 0.165629
58 17.9500823991 -0.590019 -0.219519 -0.781973 0.052065 0.325020 0.978965 -0.707637 -0.613086 0.699668 -0.287037 -0.519246 -0.592992 0.112035 0.916213 0.839114 -0.466889 -0.192921 -0.238583 -0.956417 0.422845 -0.854216 0.680816 -0.764808 0.607939 -0.962668 0.097988 -0.355973 -0.509883 0.520169 -0.064120 0.792338 -0.309186
685 44.6576055048 0.580345 -0.948673 -0.873903 0.247625 0.287502 0.489116 -0.697746 0.073040 -0.729217 0.882228 0.697620 0.193241 -0.952317 0.173071 -0.255026 -0.922120 0.961859 0.384812 -0.052046 0.973976 0.454745 -0.356165 -0.594660 0.974160 0.061768 -0.344092 0.122773 -0.106174 0.056727 -0.039075 0.291614 0.736363
1000 -229.6875244172 -0.762188 -0.055248 0.657486 0.398863 0.301741 0.198878 -0.242540 -0.055988 0.204834 -0.870994 -0.109182 -0.433155 -0.255998 -0.943337 0.656415 0.711501 0.865393 0.511520 -0.477912 -0.535699 -0.215285 -0.087525 -0.766734 -0.503302 0.062744 -0.157167 -0.314692 -0.978666 0.587067 0.451871 -0.568632 -0.160982
