evaluation,best_f
1,-812.005105872277
2,-784.4828644263123
3,-584.1517075047756
4,-584.1517075047756
5,-584.1517075047756
6,-584.1517075047756
7,-584.1517075047756
8,-584.1517075047756
9,-584.1517075047756
10,-534.754193469126
11,-493.3154381861076
12,-493.3154381861076
13,-493.3154381861076
14,-493.3154381861076
15,-493.3154381861076
16,-493.3154381861076
17,-493.3154381861076
18,-493.3154381861076
19,-493.3154381861076
20,-493.3154381861076
21,-493.3154381861076
22,-471.9926358665905
23,-471.9926358665905
24,-449.6711773964647
25,-449.6711773964647
26,-449.0673634178405
27,-449.0673634178405
28,-407.09527074376
29,-407.09527074376
30,-407.09527074376
31,-407.09527074376
32,-407.09527074376
33,-407.09527074376
34,-407.09527074376
35,-407.09527074376
36,-407.09527074376
37,-407.09527074376
38,-407.09527074376
39,-407.09527074376
40,-407.09527074376
41,-407.09527074376
42,-407.09527074376
43,-407.09527074376
44,-407.09527074376
45,-407.09527074376
46,-407.09527074376
47,-407.09527074376
48,-407.09527074376
49,-407.09527074376
50,-407.09527074376
51,-407.09527074376
52,-407.09527074376
53,-407.09527074376
54,-407.09527074376
55,-407.09527074376
56,-407.09527074376
57,-377.75890361105536
58,-377.75890361105536
59,-377.75890361105536
60,-377.75890361105536
61,-377.75890361105536
62,-377.75890361105536
63,-377.75890361105536
64,-377.75890361105536
65,-377.75890361105536
66,-377.75890361105536
67,-377.75890361105536
68,-368.72624305514444
69,-368.72624305514444
70,-368.72624305514444
71,-368.72624305514444
72,-368.72624305514444
73,-368.72624305514444
74,-368.72624305514444
75,-368.72624305514444
76,-368.72624305514444
77,-368.72624305514444
78,-368.72624305514444
79,-368.72624305514444
80,-368.72624305514444
81,-368.72624305514444
82,-368.72624305514444
83,-368.72624305514444
84,-368.72624305514444
85,-368.72624305514444
86,-368.72624305514444
87,-368.72624305514444
88,-368.72624305514444
89,-368.72624305514444
90,-368.72624305514444
91,-368.72624305514444
92,-368.72624305514444
93,-368.72624305514444
94,-368.72624305514444
95,-368.72624305514444
96,-368.72624305514444
97,-368.72624305514444
98,-368.72624305514444
99,-368.72624305514444
100,-368.72624305514444
101,-368.72624305514444
102,-368.72624305514444
103,-368.72624305514444
104,-368.72624305514444
105,-368.72624305514444
106,-368.72624305514444
107,-368.72624305514444
108,-368.72624305514444
109,-368.72624305514444
110,-368.72624305514444
111,-368.72624305514444
112,-368.72624305514444
113,-368.72624305514444
114,-368.72624305514444
115,-368.72624305514444
116,-368.72624305514444
117,-368.72624305514444
118,-368.72624305514444
119,-368.72624305514444
120,-368.72624305514444
121,-368.72624305514444
122,-368.72624305514444
123,-368.72624305514444
124,-368.72624305514444
125,-368.72624305514444
126,-368.72624305514444
127,-368.72624305514444
128,-347.25060278580406
129,-347.25060278580406
130,-347.25060278580406
131,-347.25060278580406
132,-347.25060278580406
133,-347.25060278580406
134,-347.25060278580406
135,-347.25060278580406
136,-347.25060278580406
137,-347.25060278580406
138,-347.25060278580406
139,-347.25060278580406
140,-317.11774635341897
141,-317.11774635341897
142,-317.11774635341897
143,-317.11774635341897
144,-317.11774635341897
145,-317.11774635341897
146,-317.11774635341897
147,-317.11774635341897
148,-317.11774635341897
149,-317.11774635341897
150,-317.11774635341897
151,-317.11774635341897
152,-317.11774635341897
153,-317.11774635341897
154,-317.11774635341897
155,-317.11774635341897
156,-317.11774635341897
157,-317.11774635341897
158,-317.11774635341897
159,-317.11774635341897
160,-317.11774635341897
161,-317.11774635341897
162,-317.11774635341897
163,-317.11774635341897
164,-317.11774635341897
165,-317.11774635341897
166,-317.11774635341897
167,-317.11774635341897
168,-317.11774635341897
169,-317.11774635341897
170,-317.11774635341897
171,-317.11774635341897
172,-317.11774635341897
173,-317.11774635341897
174,-317.11774635341897
175,-317.11774635341897
176,-317.11774635341897
177,-317.11774635341897
178,-317.11774635341897
179,-317.11774635341897
180,-317.11774635341897
181,-317.11774635341897
182,-317.11774635341897
183,-317.11774635341897
184,-317.11774635341897
185,-317.11774635341897
186,-317.11774635341897
187,-317.11774635341897
188,-317.11774635341897
189,-317.11774635341897
190,-317.11774635341897
191,-317.11774635341897
192,-317.11774635341897
193,-317.11774635341897
194,-317.11774635341897
195,-317.11774635341897
196,-317.11774635341897
197,-317.11774635341897
198,-317.11774635341897
199,-317.11774635341897
200,-317.11774635341897
201,-317.11774635341897
202,-317.11774635341897
203,-317.11774635341897
204,-317.11774635341897
205,-317.11774635341897
206,-317.11774635341897
207,-317.11774635341897
208,-317.11774635341897
209,-317.11774635341897
210,-317.11774635341897
211,-317.11774635341897
212,-317.11774635341897
213,-317.11774635341897
214,-317.11774635341897
215,-317.11774635341897
216,-317.11774635341897
217,-317.11774635341897
218,-317.11774635341897
219,-317.11774635341897
220,-317.11774635341897
221,-317.11774635341897
222,-317.11774635341897
223,-317.11774635341897
224,-317.11774635341897
225,-317.11774635341897
226,-317.11774635341897
227,-317.11774635341897
228,-317.11774635341897
229,-317.11774635341897
230,-317.11774635341897
231,-317.11774635341897
232,-317.11774635341897
233,-317.11774635341897
234,-317.11774635341897
235,-317.11774635341897
