evaluation,best_f
1,-57.36885262278241
2,-57.36885262278241
3,-57.36885262278241
4,-57.36885262278241
5,-57.36885262278241
6,-57.36885262278241
7,-57.36885262278241
8,-57.36885262278241
9,-57.36885262278241
10,-57.36885262278241
11,-57.36885262278241
12,-57.36885262278241
13,-57.36885262278241
14,-57.36885262278241
15,-57.36885262278241
16,-57.36885262278241
17,-57.36885262278241
18,-57.36885262278241
19,-57.36885262278241
20,-57.36885262278241
21,-57.36885262278241
22,-52.716675405059966
23,-52.716675405059966
24,-52.716675405059966
25,-52.716675405059966
26,-52.716675405059966
27,-52.716675405059966
28,-52.716675405059966
29,-52.716675405059966
30,-52.716675405059966
31,-52.716675405059966
32,-22.57706046937949
33,-22.57706046937949
34,-22.57706046937949
35,-22.57706046937949
36,-22.57706046937949
37,-22.57706046937949
38,-22.57706046937949
39,-22.57706046937949
40,-22.57706046937949
41,-22.57706046937949
42,-22.57706046937949
43,-22.57706046937949
44,-22.57706046937949
45,-3.2490427185747137
46,-3.2490427185747137
47,-3.2490427185747137
48,-3.2490427185747137
49,-3.2490427185747137
50,-3.2490427185747137
51,-3.2490427185747137
52,-3.2490427185747137
53,-3.2490427185747137
54,-3.2490427185747137
55,-3.2490427185747137
56,-3.2490427185747137
57,-3.2490427185747137
58,-3.2490427185747137
59,-3.2490427185747137
60,-3.2490427185747137
61,-3.2490427185747137
62,-3.2490427185747137
63,-3.2490427185747137
64,-3.2490427185747137
65,-3.2490427185747137
66,-3.2490427185747137
67,-3.2490427185747137
68,-3.2490427185747137
69,-3.2490427185747137
70,-3.2490427185747137
71,-3.2490427185747137
72,-3.2490427185747137
73,-3.2490427185747137
74,-3.2490427185747137
75,-3.2490427185747137
76,-3.2490427185747137
77,-3.2490427185747137
78,-3.2490427185747137
79,-3.2490427185747137
80,-3.2490427185747137
81,-3.2490427185747137
82,-3.2490427185747137
83,-3.2490427185747137
84,-3.2490427185747137
85,-3.2490427185747137
86,-3.2490427185747137
87,-3.2490427185747137
88,-3.2490427185747137
89,-3.2490427185747137
90,-3.2490427185747137
91,-3.2490427185747137
92,-3.2490427185747137
93,-3.2490427185747137
94,-3.2490427185747137
95,-3.2490427185747137
96,-3.2490427185747137
97,-3.2490427185747137
98,-3.2490427185747137
99,-3.2490427185747137
100,-3.2490427185747137
101,-3.2490427185747137
102,-3.2490427185747137
103,-3.2490427185747137
104,-3.2490427185747137
105,-3.2490427185747137
106,-3.2490427185747137
107,-3.2490427185747137
108,-3.2490427185747137
109,-3.2490427185747137
110,-3.2490427185747137
111,-3.2490427185747137
112,-3.2490427185747137
113,-3.2490427185747137
114,-3.2490427185747137
115,-3.2490427185747137
116,-3.2490427185747137
117,-3.2490427185747137
118,-3.2490427185747137
119,-3.2490427185747137
120,-3.2490427185747137
121,-3.2490427185747137
122,-3.2490427185747137
123,-3.2490427185747137
124,-3.2490427185747137
125,-3.2490427185747137
126,-3.2490427185747137
127,-3.2490427185747137
128,-3.2490427185747137
129,-3.2490427185747137
130,-3.2490427185747137
131,-3.2490427185747137
132,-3.2490427185747137
133,-3.2490427185747137
134,-3.2490427185747137
135,-3.2490427185747137
136,-3.2490427185747137
137,-3.2490427185747137
138,-3.2490427185747137
139,-3.2490427185747137
140,-3.2490427185747137
141,-3.2490427185747137
142,-3.2490427185747137
143,-3.2490427185747137
144,-3.2490427185747137
145,-3.2490427185747137
146,-3.2490427185747137
147,-3.2490427185747137
148,-3.2490427185747137
149,-3.2490427185747137
150,-3.2490427185747137
151,-3.2490427185747137
152,-3.2490427185747137
153,-3.2490427185747137
154,-3.2490427185747137
155,-3.2490427185747137
156,-3.2490427185747137
157,-3.2490427185747137
158,-3.2490427185747137
159,-3.2490427185747137
160,-3.2490427185747137
161,-3.2490427185747137
162,-3.2490427185747137
163,-3.2490427185747137
164,-3.2490427185747137
165,-3.2490427185747137
166,-3.2490427185747137
167,-3.2490427185747137
168,-3.2490427185747137
169,-3.2490427185747137
170,-3.2490427185747137
171,-3.2490427185747137
172,-3.2490427185747137
173,143.09542646400715
174,143.09542646400715
175,143.09542646400715
176,143.09542646400715
177,143.09542646400715
178,143.09542646400715
179,143.09542646400715
180,143.09542646400715
181,143.09542646400715
182,143.09542646400715
183,143.09542646400715
184,143.09542646400715
185,143.09542646400715
186,143.09542646400715
187,143.09542646400715
188,143.09542646400715
189,143.09542646400715
190,143.09542646400715
191,143.09542646400715
192,143.09542646400715
193,143.09542646400715
194,143.09542646400715
195,143.09542646400715
