evaluation,best_f
1,-122.21542068503328
2,-97.31533618253312
3,-97.31533618253312
4,-97.31533618253312
5,-97.31533618253312
6,-97.31533618253312
7,-97.31533618253312
8,-97.31533618253312
9,-97.31533618253312
10,-97.31533618253312
11,-93.20224899786473
12,-93.20224899786473
13,-93.20224899786473
14,-93.20224899786473
15,-90.88365429324605
16,-90.88365429324605
17,-90.88365429324605
18,-90.88365429324605
19,-90.88365429324605
20,-90.88365429324605
21,-17.659308611241855
22,-17.659308611241855
23,-17.659308611241855
24,-17.659308611241855
25,-17.659308611241855
26,-17.659308611241855
27,-17.659308611241855
28,-17.659308611241855
29,-17.659308611241855
30,-17.659308611241855
31,-17.659308611241855
32,-17.659308611241855
33,-17.659308611241855
34,-17.659308611241855
35,-17.659308611241855
36,18.209523153635942
37,18.209523153635942
38,18.209523153635942
39,18.209523153635942
40,18.209523153635942
41,18.209523153635942
42,18.209523153635942
43,18.209523153635942
44,18.209523153635942
45,18.209523153635942
46,18.209523153635942
47,18.209523153635942
48,18.209523153635942
49,18.209523153635942
50,18.209523153635942
51,18.209523153635942
52,18.209523153635942
53,18.209523153635942
54,18.209523153635942
55,18.209523153635942
56,18.209523153635942
57,18.209523153635942
58,18.209523153635942
59,18.209523153635942
60,18.209523153635942
61,18.209523153635942
62,18.209523153635942
63,18.209523153635942
64,18.209523153635942
65,18.209523153635942
66,18.209523153635942
67,18.209523153635942
68,18.209523153635942
69,18.209523153635942
70,18.209523153635942
71,18.209523153635942
72,18.209523153635942
73,18.209523153635942
74,18.209523153635942
75,18.209523153635942
76,18.209523153635942
77,18.209523153635942
78,18.209523153635942
79,18.209523153635942
80,25.717747619267442
81,25.717747619267442
82,25.717747619267442
83,25.717747619267442
84,25.717747619267442
85,25.717747619267442
86,25.717747619267442
87,25.717747619267442
88,25.717747619267442
89,25.717747619267442
90,25.717747619267442
91,25.717747619267442
92,25.717747619267442
93,25.717747619267442
94,25.717747619267442
95,25.717747619267442
96,25.717747619267442
97,25.717747619267442
98,25.717747619267442
99,25.717747619267442
100,25.717747619267442
101,25.717747619267442
102,25.717747619267442
103,25.717747619267442
104,25.717747619267442
105,25.717747619267442
106,25.717747619267442
107,25.717747619267442
108,25.717747619267442
109,25.717747619267442
110,25.717747619267442
111,25.717747619267442
112,25.717747619267442
113,25.717747619267442
114,25.717747619267442
115,25.717747619267442
116,25.717747619267442
117,25.717747619267442
118,25.717747619267442
119,25.717747619267442
120,25.717747619267442
