evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31
1 -349.2462449098 -0.742023 -0.077688 -0.167692 0.205448 -0.633864 -0.164175 -0.731823 0.313236 0.613465 -0.723716 -0.299231 0.229032 0.102561 0.384949 -0.909480 -0.294898 -0.916217 -0.699031 -0.323329 -0.673445 0.521949 -0.306796 -0.476018 -0.628623 0.808028 -0.585043 -0.307429 -0.234868 -0.897584 0.741743 0.320785 0.709132
2 -326.6239777870 -0.978084 0.601894 -0.228816 -0.069558 -0.522066 -0.399597 -0.916222 0.161549 -0.211915 0.823372 -0.654900 -0.304030 0.677588 -0.431259 0.219659 -0.091937 -0.101636 -0.595218 -0.815428 0.502932 0.775249 0.624226 0.622601 -0.091075 0.763603 0.472659 0.621131 -0.504549 -0.270214 0.492749 0.643055 -0.290058
3 -264.0488865317 -0.752162 0.758918 0.011832 -0.183967 0.768298 0.764241 0.906398 0.872853 -0.292238 0.167880 -0.447741 0.679196 0.566614 0.867549 -0.011606 -0.252108 0.165669 -0.509362 0.620632 -0.324650 -0.071143 -0.823613 0.331067 -0.016903 -0.761380 -0.491146 0.106088 -0.641492 0.234893 0.658853 -0.475623 0.269103
6 -137.6232172225 0.566086 -0.274437 -0.218108 -0.800599 0.504541 0.233776 -0.111802 -0.030890 0.761595 0.537963 0.217941 -0.910822 0.531235 -0.018533 -0.161811 -0.200401 -0.742618 -0.351260 -0.954474 -0.071092 -0.817604 0.355039 -0.716230 -0.174142 -0.097041 -0.630172 -0.998405 0.830425 -0.540580 0.091193 -0.128435 -0.698893
7 -73.7241455605 -0.238618 0.090807 -0.544714 0.529065 0.016035 0.031572 -0.112153 -0.267803 0.750932 -0.175500 -0.056039 -0.819933 0.144761 0.729724 -0.415998 0.708302 -0.462218 -0.147249 0.436382 -0.027364 0.920436 0.982113 -0.719826 -0.391920 0.687992 0.672070 0.806184 -0.848625 -0.328676 0.483859 0.121646 -0.563886
15 14.4934778621 0.298268 0.425665 -0.574650 -0.456910 -0.207231 0.577525 0.383161 0.779462 0.436750 -0.322722 0.899672 -0.605107 -0.251538 -0.402769 -0.852449 0.602925 0.209488 -0.170528 -0.491783 -0.266771 -0.946184 -0.347622 -0.165897 -0.394488 -0.496513 0.261219 -0.900065 -0.430779 -0.779167 -0.089611 -0.010344 0.381565
440 50.8497811334 -0.022117 -0.799629 -0.971460 -0.723982 0.795940 -0.408029 0.483570 -0.503582 0.784456 -0.474351 -0.412481 -0.239558 -0.304464 0.973422 -0.105887 0.363769 0.750023 -0.194338 0.455743 -0.019993 -0.772571 -0.078030 0.950478 0.139521 -0.510885 -0.419237 0.129071 0.908006 0.535565 -0.194261 0.177401 -0.795906
992 176.2413060194 -0.290070 0.526050 -0.923575 0.250547 0.557681 -0.593214 -0.731845 -0.898349 0.698105 0.211670 0.563871 0.002063 0.783124 0.996564 -0.552227 0.933382 -0.575689 0.047969 0.413429 -0.255116 0.809302 0.469958 -0.451465 -0.770245 -0.531629 0.342031 0.153587 -0.092779 -0.323661 -0.666641 0.340114 0.677468
1000 -628.1649890804 0.410094 -0.648107 0.344641 0.691203 -0.367021 0.976273 -0.739994 0.630344 -0.441011 0.452829 0.276952 -0.967782 -0.851561 0.133682 0.105373 0.391235 -0.523442 0.692022 0.367975 -0.776601 0.299938 -0.189913 0.873967 -0.260864 -0.314650 -0.402990 0.278832 -0.593377 -0.605403 0.412547 -0.003485 -0.644532
