evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31
1 -498.9932207057 -0.387536 -0.469873 -0.607880 -0.138957 -0.953773 -0.608436 -0.294389 -0.553516 0.227044 0.160914 0.707135 -0.917739 -0.023651 0.841652 -0.781796 -0.177887 -0.059746 -0.745407 0.964710 -0.959368 0.410972 0.931018 -0.294509 0.211790 -0.565239 0.983939 0.338359 0.386079 -0.649058 0.660898 -0.507624 0.208391
2 -81.3728651620 0.637024 -0.164507 -0.877062 0.814508 0.467731 -0.239268 -0.211617 0.757207 -0.776341 -0.131426 0.137123 -0.960758 -0.269707 -0.060922 -0.509467 0.099300 -0.127730 0.863502 -0.410216 -0.157532 -0.500369 -0.115931 0.166772 0.520417 0.466856 0.444202 0.477010 0.023484 -0.479717 0.541363 0.012853 -0.269164
92 2.0365903291 -0.009070 -1.000000 -0.544337 0.307742 0.467731 -0.050570 -0.001786 -1.000000 -0.776341 -0.272325 -0.525149 -0.143375 0.229439 1.000000 -0.194426 0.335061 -0.024105 -0.412048 -1.000000 -1.000000 0.032817 1.000000 -0.530899 1.000000 0.751056 1.000000 -0.217343 -0.444845 1.000000 -0.002552 -1.000000 -0.739038
114 26.8783603857 -0.578824 -1.000000 -0.050238 -0.009380 0.549802 0.950332 -0.749404 0.651856 -0.048369 0.468956 0.187857 0.270374 -0.560213 0.810948 0.150017 -0.892420 1.000000 0.100603 0.619964 -1.000000 -0.089342 -1.000000 1.000000 0.535218 -0.204528 -0.258405 0.445039 -1.000000 0.702139 -0.446289 -0.482653 -0.334111
422 234.2095355680 -0.932126 -0.158642 -0.544337 -0.837898 1.000000 -0.797045 -1.000000 -1.000000 -0.878704 -0.188844 -0.763278 -0.795731 0.305011 1.000000 -1.000000 0.435425 -1.000000 0.679049 0.202156 -1.000000 -0.190237 1.000000 -1.000000 0.690940 0.313085 -0.099040 -0.010192 0.165950 -0.187291 0.618299 0.231478 -1.000000
870 267.3974206086 0.141776 -1.000000 -1.000000 -0.118365 1.000000 -0.551088 -0.928491 -1.000000 -0.832230 0.027486 -0.236611 -1.000000 1.000000 1.000000 -0.685223 -0.728391 -1.000000 -0.027815 0.021080 -1.000000 0.557896 1.000000 -0.734730 1.000000 -0.000886 -0.919868 0.676153 0.374192 1.000000 0.447737 -1.000000 -0.837164
1000 -143.8756414556 0.173848 -0.465608 -0.993543 -0.094794 0.760276 0.548635 -0.596266 -0.770674 -0.493956 -0.688731 1.000000 -0.816923 1.000000 0.084516 -0.208855 -0.856082 -0.053020 0.807110 -1.000000 0.270682 0.723434 -0.999120 -0.912293 0.571700 0.424535 -0.936828 1.000000 0.682627 0.751906 -1.000000 -0.657709 -0.911279
