evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31
1 -359.1407739597 0.828140 0.260142 0.017866 -0.894205 -0.920023 0.466664 0.332702 0.693696 -0.705391 0.385741 0.296606 0.805754 -0.876679 -0.140908 -0.817375 0.222433 -0.406426 0.144013 0.566715 0.215483 -0.184290 0.901878 0.314920 -0.560544 0.989602 0.265541 0.755267 0.664617 -0.306046 -0.225673 0.948207 0.982907
3 -7.8981474032 -0.032532 0.966577 0.397458 -0.903156 0.417703 -0.361328 -0.893578 0.212839 0.040724 -0.072431 -0.306366 0.950048 -0.018171 0.272299 0.450726 -0.184132 -0.506889 0.874687 0.390897 -0.509661 0.298546 -0.596522 -0.420819 -0.013069 -0.388405 0.374376 0.169473 0.126354 -0.433656 -0.423944 -0.517077 0.234946
73 13.3653405728 -1.000000 -0.700124 -0.782990 -0.205023 0.591679 -1.000000 -0.468477 0.173984 1.000000 -1.000000 -0.946327 -1.000000 0.998996 -0.442855 -0.629050 1.000000 0.116699 1.000000 -1.000000 0.618724 0.211300 0.572783 0.929989 1.000000 1.000000 1.000000 -1.000000 -1.000000 1.000000 -0.954638 0.961805 0.156611
246 35.6210968943 -0.851493 0.975312 -0.856583 0.138361 0.430965 0.451546 1.000000 -0.711114 -1.000000 -0.490165 1.000000 -0.719006 0.018400 -0.304996 -0.512202 0.722328 0.079815 0.127438 -0.937234 -0.695243 0.527857 -0.212146 -0.738390 -1.000000 0.330094 1.000000 -0.721381 -0.575261 -0.798352 0.776437 1.000000 -0.297297
956 242.4439709281 0.158085 1.000000 -1.000000 1.000000 0.709615 -0.910193 0.032419 0.057064 -0.039981 -0.179865 -0.037718 0.300576 0.024374 0.086286 -1.000000 0.986917 -0.650787 0.394634 0.494718 -1.000000 0.971378 -0.726539 0.735372 -1.000000 -0.205958 0.851569 0.872262 -1.000000 0.943843 0.498807 -0.578095 0.324424
1000 -341.9001098459 0.457985 1.000000 -0.755738 1.000000 0.683703 1.000000 0.622434 -0.470983 0.546632 1.000000 0.600000 1.000000 0.918055 -0.143988 0.218098 0.173945 0.881129 -0.785030 0.157790 -1.000000 1.000000 -1.000000 -0.618756 -1.000000 -1.000000 -1.000000 -1.000000 1.000000 -1.000000 -0.320349 -0.077173 -0.335161
