evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31
1 -301.0024775134 0.441444 -0.760842 -0.234687 0.208718 -0.994063 -0.150860 -0.297075 -0.539651 -0.112180 0.506818 0.956913 -0.542060 -0.077355 -0.480965 0.639259 -0.162176 -0.675923 -0.438237 0.873594 0.940632 -0.245345 0.643688 -0.399112 -0.151727 0.126181 0.759781 0.119886 0.665840 0.314583 -0.860355 -0.151242 -0.549490
3 -135.6767869825 -0.378171 -0.078342 -0.848962 -0.115979 -0.997396 -0.751914 -0.694696 -0.474813 -0.831205 -0.315184 -0.913354 0.482335 0.957849 -0.268691 0.406318 -0.111016 -0.331480 -0.295188 -0.266758 0.381798 -0.558756 -0.474327 0.684881 0.278357 -0.286851 0.551295 -0.392558 -0.028646 0.921626 0.305494 0.302464 0.287254
9 28.9737384814 0.790609 0.886048 0.150764 -0.819277 0.882226 0.807631 -0.805869 -0.767678 0.123206 -0.597528 -0.395709 0.899090 -0.575211 0.358508 0.649186 -0.557037 0.263470 -0.695995 -0.341329 0.270734 -0.974512 0.462636 -0.097500 0.594423 0.632060 0.836325 -0.280409 0.394075 0.796423 -0.553612 -0.856273 0.017717
479 40.8100020273 -0.376265 -0.363944 0.919859 -0.185154 -0.236909 0.335845 0.341137 0.655461 -0.086585 0.504725 0.164294 -0.070149 0.817402 0.258811 -0.100496 0.798095 -0.191145 -0.243444 -0.131620 -0.793622 0.729565 -0.466935 0.431420 0.699832 0.279349 0.265612 -0.264805 0.570000 -0.454244 -0.069649 -0.104219 -0.241603
1000 -439.1663479350 -0.160759 -0.188935 0.086134 -0.622523 -0.222027 0.404963 -0.668423 -0.249332 -0.854205 -0.389902 -0.764642 0.679573 -0.629598 0.656531 -0.508168 0.838792 -0.069676 -0.362635 0.840007 0.811736 -0.856552 -0.020350 -0.237686 0.741795 -0.060042 0.517201 -0.508539 0.919975 -0.905484 0.219696 0.896977 -0.447573
