evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31
1 -25.9574279814 -0.352161 -0.764655 -0.988392 0.722599 0.568911 -0.587961 -0.387444 -0.421337 -0.586340 -0.743087 0.077570 0.523125 0.454123 0.066013 -0.097999 0.789791 -0.652091 -0.692501 0.081815 0.118933 0.111762 0.265697 0.977504 -0.552598 0.814846 -0.701028 0.427892 -0.510240 -0.178074 0.001114 0.011869 0.067858
4 10.2592303297 -0.352161 -0.764655 -0.988392 0.722599 0.568911 -0.587961 -0.387444 -0.421337 -0.586340 -0.743087 0.077570 0.523125 0.454123 0.066013 -0.097999 0.789791 -0.652091 -0.692501 0.081815 0.118933 0.111762 0.265697 0.977504 -0.552598 0.814846 -0.701028 0.427892 -0.510240 -0.178074 0.001114 0.011869 0.067858
93 38.7595676975 -0.528334 -0.762280 -1.000000 0.788098 0.700824 -0.754813 -0.275583 -0.402585 -0.318566 -0.744717 0.160881 0.555729 0.249480 -0.383519 -0.079551 1.000000 -0.149461 -0.836887 -0.283291 0.211618 0.727389 -0.046850 0.913960 -0.437844 1.000000 -0.841365 0.465883 -0.409322 -0.522596 -0.154699 -0.043544 0.181406
447 195.6508936054 -0.486748 -0.593516 -1.000000 0.823904 0.533272 -0.982388 -0.283689 -0.366626 -0.456213 -0.617523 0.072087 0.347253 0.109195 -0.147814 -0.665317 0.482686 -0.619675 -1.000000 -0.488886 0.451542 0.569648 -0.480452 0.501120 -0.240018 1.000000 -0.918343 0.002384 -0.499335 0.055310 -0.104291 0.410144 -0.132414
495 243.5951162542 -1.000000 -0.443384 -0.630543 1.000000 0.689346 -1.000000 -0.241195 -0.247083 -0.422644 -0.631148 -0.230357 0.404356 -0.016410 0.159321 -0.847579 0.675701 -0.660407 -0.796139 -0.472953 0.683055 0.635400 -0.443555 0.802271 -0.292777 0.923879 -0.849896 0.465580 -0.164316 -0.435779 0.129591 0.035394 -0.072576
496 272.7135064324 -1.000000 -0.443384 -0.630543 1.000000 0.689346 -1.000000 -0.241195 -0.247083 -0.422644 -0.631148 -0.230357 0.404356 -0.016410 0.159321 -0.847579 0.675701 -0.660407 -0.796139 -0.472953 0.683055 0.635400 -0.443555 0.802271 -0.292777 0.923879 -0.849896 0.465580 -0.164316 -0.435779 0.129591 0.035394 -0.072576
796 279.1388324955 -1.000000 -0.025878 -0.931777 0.804764 0.643955 -0.979321 -0.361776 0.115516 -1.000000 -0.798177 -0.051611 0.144610 0.164201 0.324347 -0.666882 0.507912 -0.783855 -0.759090 -0.655244 0.554460 0.654294 -0.094615 0.882253 -0.053124 0.925581 -0.895899 0.435810 -0.226191 -0.568283 0.196264 -0.089805 -0.072774
5113 302.4662861552 -1.000000 1.000000 -1.000000 0.051797 1.000000 0.608764 -1.000000 -1.000000 1.000000 1.000000 -0.625979 -1.000000 1.000000 1.000000 -1.000000 1.000000 1.000000 -1.000000 1.000000 1.000000 -1.000000 -1.000000 -1.000000 -1.000000 1.000000 -1.000000 1.000000 1.000000 -0.550936 -1.000000 -1.000000 -1.000000
120005 -358.9450825883 -1.000000 1.000000 -1.000000 1.000000 -1.000000 -1.000000 -1.000000 1.000000 1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 1.000000 -1.000000 1.000000 1.000000 1.000000 1.000000 -1.000000 -1.000000 -1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 -1.000000 1.000000 -1.000000
