evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31
1 -325.7658335079 0.667518 0.119717 0.543436 -0.396597 0.125913 0.992018 -0.354370 0.519928 -0.555978 0.912368 -0.470380 -0.186964 -0.599461 -0.573195 0.366704 -0.435449 -0.614373 0.346274 0.191804 -0.272008 0.390331 0.266757 0.688364 -0.750769 -0.372216 -0.829087 -0.397218 0.541758 0.088875 -0.769730 0.877465 0.415115
7 -310.9717615352 0.560461 0.037998 0.549666 -0.593422 0.066830 0.905594 -0.173409 0.585592 -0.502524 1.000000 -0.293646 -0.241801 -0.811249 -0.658684 0.156160 -0.499956 -0.767159 0.336425 0.183701 -0.116962 0.292977 0.325502 0.562032 -0.744065 -0.291813 -0.907141 -0.365898 0.639080 0.078180 -0.767059 0.872508 0.295543
168 -306.0512823695 0.574115 0.010902 0.563900 -0.595348 0.098794 0.985328 -0.169993 0.582933 -0.506374 0.990149 -0.317388 -0.279565 -0.770765 -0.642971 0.184654 -0.495058 -0.775653 0.321481 0.174007 -0.141858 0.325129 0.319230 0.585778 -0.697536 -0.283980 -0.894261 -0.417575 0.617984 0.060303 -0.732089 0.868354 0.259177
291 -264.3851770464 0.591022 0.020605 0.570371 -0.598776 0.074496 1.000000 -0.164069 0.579183 -0.518142 1.000000 -0.313951 -0.267633 -0.768037 -0.629883 0.203943 -0.516639 -0.778228 0.317661 0.178348 -0.133950 0.331208 0.346640 0.582434 -0.678563 -0.287791 -0.872461 -0.433528 0.615222 0.051536 -0.732514 0.873871 0.253022
1000 -490.9191188489 0.591026 0.020585 0.570424 -0.598785 0.074481 1.000000 -0.164082 0.579183 -0.518149 1.000000 -0.313932 -0.267697 -0.768027 -0.629874 0.203959 -0.516627 -0.778276 0.317588 0.178331 -0.133974 0.331164 0.346643 0.582457 -0.678532 -0.287812 -0.872466 -0.433563 0.615281 0.051508 -0.732573 0.873850 0.253014
