evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31
1 -115.6553969253 0.311362 -0.228519 0.253024 -0.775634 0.616056 -0.044226 0.253076 0.500853 0.984775 0.394826 -0.895291 -0.177992 -0.882996 0.328019 -0.129043 0.607012 -0.734911 -0.751302 0.565710 -0.013020 -0.568758 0.479133 0.343441 -0.064802 -0.706584 -0.442820 -0.832317 -0.874655 -0.695238 -0.827426 -0.894361 0.324560
43 -115.2200440504 0.042752 -0.471053 0.316949 0.731856 0.947904 -0.994508 -0.920271 0.567430 0.742802 0.378951 -0.573421 -0.516875 0.098878 -0.590394 -0.367183 0.668530 -0.721204 -0.154643 -0.842167 0.070254 0.208846 0.151189 0.189925 -0.344280 -0.535143 0.321111 0.333319 0.303059 -0.506437 0.435903 -0.194588 0.083327
53 -103.3071017645 -0.824014 0.085939 0.087065 -0.093699 0.731557 -0.524142 -0.489985 0.565101 0.706852 0.845101 -0.929683 -0.982768 0.016789 -0.579173 -0.857656 0.038930 0.615486 0.458175 0.271161 -0.112808 -0.512538 -0.538930 0.703671 -0.318532 0.269813 -0.975241 0.072436 0.558575 -0.344911 -0.360033 -0.811786 0.104659
81 -17.5090218235 -0.952587 -0.580234 -0.652062 -0.542373 0.391617 -0.507415 -0.692210 -0.458155 0.155074 -0.193961 0.567138 0.675004 -0.351537 0.407670 0.119040 0.423457 0.995497 0.475894 0.066105 0.844234 -0.543532 -0.578172 0.415700 0.222628 0.792233 0.909538 -0.026290 0.815074 -0.064638 0.737712 -0.275741 -0.097108
170 242.2216179488 -0.380221 0.119276 0.603129 0.551192 0.823938 0.153185 -0.706468 -0.461234 0.316105 -0.880857 -0.175034 0.620820 0.150604 0.521114 -0.523956 0.739874 -0.102523 0.079840 -0.866560 0.267561 0.416454 0.591983 -0.083922 -0.788603 -0.344958 0.664612 -0.051092 -0.707120 -0.217653 0.087722 0.894585 -0.572249
1000 -1199.5446857644 -0.949897 0.642035 0.913428 -0.294401 -0.282926 -0.009692 -0.195520 0.785764 -0.336287 0.096110 0.186107 0.575874 0.978863 0.023742 0.443078 0.591431 0.539553 0.594431 0.335525 -0.190847 -0.952502 0.400726 0.632808 -0.007371 0.463602 0.789681 0.486027 0.643411 -0.687653 -0.475607 -0.293914 -0.038624
