evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31
1 -91.9634810787 -0.774929 0.840910 -0.053971 0.318114 0.566169 0.025241 0.398153 -0.219970 0.608981 0.247827 0.256529 -0.736633 0.435382 0.641996 0.706887 0.547029 0.879028 -0.836252 0.707651 -0.079952 0.601170 -0.860768 0.121609 -0.244057 0.404425 -0.878766 0.262172 -0.098459 0.994821 0.872923 0.227542 -0.852525
49 25.1648798077 -0.270698 -0.484928 0.546604 1.000000 1.000000 -1.000000 1.000000 0.222104 1.000000 -1.000000 -0.837451 0.518936 0.149541 1.000000 -0.467576 0.837729 -1.000000 0.426502 0.665015 1.000000 -0.953083 1.000000 0.783692 0.879695 -0.030547 -1.000000 0.478858 -1.000000 -1.000000 -0.120663 0.573555 1.000000
54 312.7294034025 -1.000000 0.428339 -1.000000 1.000000 -0.170195 -0.856997 -0.197822 0.220495 -0.479557 0.820556 0.408403 -0.822267 0.557597 -0.067816 -0.256654 1.000000 0.175856 -1.000000 1.000000 1.000000 1.000000 -0.637228 -1.000000 1.000000 -0.105020 -1.000000 -1.000000 0.373163 -0.121757 -0.148643 0.564234 -1.000000
6605 319.7733899795 -0.809790 0.363407 1.000000 -1.000000 -0.595273 0.612838 -0.318006 1.000000 -1.000000 0.632290 -1.000000 -1.000000 0.524931 1.000000 -0.889302 1.000000 1.000000 -0.645742 -0.152000 1.000000 0.600000 -0.698062 -1.000000 0.895968 1.000000 -1.000000 -0.534253 1.000000 0.448454 -0.036462 1.000000 -0.749958
9205 325.5301900067 -0.384753 0.063422 0.097148 -0.764564 -0.690823 0.497420 -0.269958 1.000000 -1.000000 0.777344 -0.761405 -0.963759 0.505111 0.912827 -0.936135 0.963782 1.000000 -0.840452 -0.344000 1.000000 0.547033 -0.534915 -1.000000 1.000000 0.378662 0.191166 -0.036995 0.782808 1.000000 -0.056580 -0.372865 0.060480
20000 92.0600011955 -1.000000 -0.569842 0.067105 -0.133330 -1.000000 0.762441 -0.373295 1.000000 -1.000000 0.064478 -0.760119 -0.934055 0.505111 0.521017 -0.921076 0.652050 1.000000 -0.956025 -1.000000 -0.448749 -0.098126 -0.572593 -0.344640 1.000000 -0.136121 -0.389741 0.852778 -1.000000 0.348277 1.000000 -0.839402 1.000000
